StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime	pickup
D0	d	40.00	50.00	0.00	0.00	1236.00	0.00	0.00
S2	f	90.00	55.00	0.00	0.00	1236.00	0.00	0.00
S4	f	69.00	89.00	0.00	0.00	1236.00	0.00	0.00
S7	f	23.00	80.00	0.00	0.00	1236.00	0.00	0.00
S8	f	4.00	83.00	0.00	0.00	1236.00	0.00	0.00
S10	f	1.00	56.00	0.00	0.00	1236.00	0.00	0.00
S15	f	39.00	31.00	0.00	0.00	1236.00	0.00	0.00
S16	f	48.00	11.00	0.00	0.00	1236.00	0.00	0.00
S17	f	59.00	17.00	0.00	0.00	1236.00	0.00	0.00
S18	f	73.00	23.00	0.00	0.00	1236.00	0.00	0.00
S19	f	74.00	32.00	0.00	0.00	1236.00	0.00	0.00
S20	f	90.00	44.00	0.00	0.00	1236.00	0.00	0.00
C1         c          45.0       68.0       10.0       46.0       172.0      90.0              12.0
C3         c          42.0       66.0       10.0       829.0      965.0      90.0              12.0
C5         c          42.0       65.0       10.0       912.0      1064.0     90.0              12.0
C8         c          38.0       68.0       20.0       991.0      1127.0     90.0              16.0
C9         c          38.0       70.0       10.0       917.0      1081.0     90.0              12.0
C10        c          35.0       66.0       10.0       746.0      878.0      90.0              8.0
C14        c          22.0       85.0       10.0       231.0      359.0      90.0              8.0
C16        c          20.0       85.0       40.0       329.0      445.0      90.0              32.0
C26        c          25.0       55.0       10.0       637.0      779.0      90.0              8.0
C28        c          23.0       55.0       20.0       402.0      546.0      90.0              16.0
C29        c          20.0       50.0       10.0       148.0      252.0      90.0              12.0
C30        c          20.0       55.0       10.0       328.0      434.0      90.0              8.0
C31        c          10.0       35.0       20.0       441.0      543.0      90.0              24.0
C32        c          10.0       40.0       30.0       237.0      371.0      90.0              24.0
C35        c          5.0        35.0       10.0       620.0      760.0      90.0              12.0
C36        c          5.0        45.0       10.0       244.0      380.0      90.0              8.0
C37        c          2.0        40.0       20.0       544.0      644.0      90.0              24.0
C40        c          35.0       30.0       10.0       114.0      228.0      90.0              8.0
C43        c          33.0       35.0       10.0       759.0      879.0      90.0              12.0
C44        c          32.0       30.0       10.0       294.0      418.0      90.0              8.0
C47        c          30.0       35.0       10.0       670.0      782.0      90.0              12.0
C48        c          28.0       30.0       10.0       483.0      597.0      90.0              8.0
C51        c          25.0       30.0       10.0       790.0      922.0      90.0              12.0
C52        c          25.0       35.0       10.0       1003.0     1124.0     90.0              8.0
C54        c          42.0       10.0       40.0       782.0      896.0      90.0              32.0
C55        c          42.0       15.0       10.0       876.0      992.0      90.0              12.0
C56        c          40.0       5.0        30.0       320.0      440.0      90.0              24.0
C57        c          40.0       15.0       40.0       952.0      1100.0     90.0              48.0
C58        c          38.0       5.0        30.0       224.0      352.0      90.0              24.0
C65        c          48.0       40.0       10.0       31.0       175.0      90.0              12.0
C67        c          47.0       40.0       10.0       13.0       162.0      90.0              12.0
C68        c          45.0       30.0       10.0       321.0      453.0      90.0              8.0
C69        c          45.0       35.0       10.0       413.0      551.0      90.0              12.0
C70        c          95.0       30.0       30.0       363.0      471.0      90.0              24.0
C71        c          95.0       35.0       20.0       450.0      574.0      90.0              24.0
C72        c          53.0       30.0       10.0       879.0      979.0      90.0              8.0
C75        c          45.0       65.0       20.0       16.0       167.0      90.0              24.0
C76        c          90.0       35.0       10.0       543.0      671.0      90.0              8.0
C78        c          88.0       35.0       20.0       634.0      764.0      90.0              16.0
C80        c          85.0       25.0       10.0       610.0      716.0      90.0              8.0
C81        c          85.0       35.0       30.0       730.0      854.0      90.0              36.0
C82        c          75.0       55.0       20.0       424.0      564.0      90.0              16.0
C83        c          72.0       55.0       10.0       525.0      649.0      90.0              12.0
C84        c          70.0       58.0       20.0       620.0      740.0      90.0              16.0
C85        c          68.0       60.0       30.0       700.0      846.0      90.0              36.0
C86        c          66.0       55.0       10.0       139.0      275.0      90.0              8.0
C89        c          63.0       58.0       10.0       899.0      1019.0     90.0              12.0
C92        c          67.0       85.0       20.0       428.0      550.0      90.0              16.0
C94        c          65.0       82.0       10.0       340.0      450.0      90.0              8.0
C95        c          62.0       80.0       30.0       247.0      357.0      90.0              36.0
Q Vehicle fuel tank capacity /79.69/
C Vehicle load capacity /200.0/
r fuel consumption rate /1.0/
g inverse refueling rate /3.39/
v average Velocity /1.0/
