StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime	pickup
D0	d	40.00	50.00	0.00	0.00	960.00	0.00	0.00
S0	f	40.00	50.00	0.00	0.00	960.00	0.00	0.00
S1	f	73.00	52.00	0.00	0.00	960.00	0.00	0.00
S2	f	90.00	55.00	0.00	0.00	960.00	0.00	0.00
S3	f	55.00	79.00	0.00	0.00	960.00	0.00	0.00
S7	f	23.00	80.00	0.00	0.00	960.00	0.00	0.00
S8	f	4.00	83.00	0.00	0.00	960.00	0.00	0.00
S10	f	1.00	56.00	0.00	0.00	960.00	0.00	0.00
S11	f	13.00	31.00	0.00	0.00	960.00	0.00	0.00
S16	f	48.00	11.00	0.00	0.00	960.00	0.00	0.00
S17	f	59.00	17.00	0.00	0.00	960.00	0.00	0.00
S20	f	90.00	44.00	0.00	0.00	960.00	0.00	0.00
C1         c          25.0       85.0       20.0       300.0      420.0      10.0              24.0
C4         c          20.0       80.0       40.0       712.0      832.0      10.0              32.0
C5         c          20.0       85.0       20.0       0.0        909.0      10.0              24.0
C6         c          18.0       75.0       20.0       0.0        916.0      10.0              16.0
C8         c          15.0       80.0       10.0       0.0        910.0      10.0              8.0
C12        c          8.0        45.0       20.0       797.0      917.0      10.0              16.0
C13        c          5.0        35.0       10.0       0.0        911.0      10.0              12.0
C14        c          5.0        45.0       10.0       0.0        914.0      10.0              8.0
C19        c          42.0       10.0       40.0       0.0        909.0      10.0              48.0
C20        c          42.0       15.0       10.0       208.0      328.0      10.0              8.0
C21        c          40.0       5.0        10.0       0.0        905.0      10.0              12.0
C24        c          38.0       15.0       10.0       0.0        914.0      10.0              8.0
C25        c          35.0       5.0        20.0       0.0        904.0      10.0              24.0
C26        c          95.0       30.0       30.0       0.0        891.0      10.0              24.0
C28        c          92.0       30.0       10.0       0.0        894.0      10.0              8.0
C29        c          90.0       35.0       10.0       501.0      621.0      10.0              12.0
C30        c          88.0       30.0       10.0       0.0        898.0      10.0              8.0
C34        c          85.0       35.0       30.0       0.0        902.0      10.0              24.0
C35        c          67.0       85.0       20.0       0.0        905.0      10.0              24.0
C36        c          65.0       85.0       40.0       517.0      637.0      10.0              32.0
C37        c          65.0       82.0       10.0       0.0        909.0      10.0              12.0
C40        c          60.0       85.0       30.0       0.0        909.0      10.0              24.0
C41        c          58.0       75.0       20.0       257.0      377.0      10.0              24.0
C44        c          55.0       82.0       10.0       0.0        914.0      10.0              8.0
C45        c          20.0       82.0       10.0       0.0        912.0      10.0              12.0
C46        c          18.0       80.0       10.0       0.0        912.0      10.0              8.0
C49        c          42.0       12.0       10.0       0.0        911.0      10.0              12.0
C54        c          55.0       60.0       16.0       0.0        931.0      10.0              12.0
C55        c          30.0       60.0       16.0       0.0        935.0      10.0              19.0
C58        c          15.0       10.0       20.0       0.0        902.0      10.0              16.0
C59        c          10.0       20.0       19.0       0.0        907.0      10.0              22.0
C60        c          15.0       60.0       17.0       0.0        923.0      10.0              13.0
C65        c          35.0       40.0       16.0       28.0       148.0      10.0              19.0
C69        c          31.0       52.0       27.0       10.0       130.0      10.0              32.0
C70        c          35.0       69.0       23.0       0.0        930.0      10.0              18.0
C72        c          63.0       65.0       8.0        0.0        922.0      10.0              6.0
C76        c          60.0       12.0       31.0       0.0        907.0      10.0              24.0
C77        c          23.0       3.0        7.0        50.0       170.0      10.0              8.0
C78        c          8.0        56.0       27.0       0.0        917.0      10.0              21.0
C81        c          49.0       58.0       10.0       0.0        937.0      10.0              12.0
C82        c          27.0       43.0       9.0        0.0        935.0      10.0              7.0
C84        c          57.0       29.0       18.0       0.0        922.0      10.0              14.0
C85        c          63.0       23.0       2.0        0.0        914.0      10.0              2.0
C92        c          53.0       43.0       14.0       0.0        935.0      10.0              11.0
C94        c          57.0       48.0       23.0       0.0        932.0      10.0              18.0
C95        c          56.0       37.0       6.0        0.0        929.0      10.0              7.0
C96        c          55.0       54.0       26.0       0.0        934.0      10.0              20.0
C98        c          26.0       52.0       9.0        0.0        935.0      10.0              7.0
C99        c          26.0       35.0       15.0       0.0        929.0      10.0              18.0
C100       c          31.0       67.0       3.0        0.0        930.0      10.0              2.0
Q Vehicle fuel tank capacity /159.68/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.19/
v average Velocity /1.0/
